Complexity,Loss,Equation
1,1.668846e6,"64932.996"
5,1.3989664e6,"(-849379.3 / x0) - -65032.31"
7,1.139781e6,"(101809.59 / (257.50998 - x0)) - -64980.715"
9,1.1396872e6,"64988.74 - (74269.95 / ((x0 + -256.17953) * 0.60599834))"
11,1.0158745e6,"(x0 * 0.01899834) + (64317.688 - (64318.91 / (x0 - 259.72284)))"
13,935177.0,"65292.12 - ((-6.030426e6 / (-1569.7175 - x0)) - (65292.12 / (258.58258 - x0)))"
15,916956.56,"47236.94 - ((-9.356564e6 / (-2820.3423 - x0)) - ((-18895.705 / (265.4305 - x0)) + 18149.242))"
19,916913.44,"(47232.645 - ((-9.356564e6 / (-2820.3423 - x0)) - ((-18630.176 / (265.54358 - (x0 + 0.13972992))) + 18150.604))) + -1.3835503"
27,915110.2,"((-9.356564e6 / (-2820.3423 - (x0 / -0.0028837812))) + 47235.723) - ((-9.356564e6 / (-2820.3423 - x0)) - (((-18630.176 / (265.52875 - (x0 + 0.13973348))) + 18150.604) - -0.318392))"
