Complexity,Loss,Equation
1,6665.8267,"115.84962"
5,6363.92,"(x0 * 0.0008552196) + 89.387955"
7,6363.8447,"(x0 - -89.43672) + (x0 * -0.99914604)"
9,5681.655,"(-197.83456 / (-145.35773 - (x0 * -0.0031164254))) + 119.20175"
11,5671.642,"((-144.25815 / (-145.35773 - (x0 * -0.0031164254))) * 1.3713926) + 118.22445"
13,5465.368,"(14.172398 / ((-103.937416 - ((x0 / -198.05627) + 9.402903)) / 36.694958)) + 114.71471"
15,5464.8154,"((14.172398 / ((-103.937416 - ((x0 / -198.05627) + 9.402903)) / 36.694958)) + 114.71471) - 0.52397335"
