Complexity,Loss,Equation
1,3.8912752e8,"15286.834"
5,3.8577914e8,"(x0 * -0.08352667) + 18821.371"
7,2.8121926e8,"(3.4403756e7 / (x0 - 22887.69)) + 12889.214"
11,2.794934e8,"(((2324.743 / (x0 - 22482.855)) + -0.063051075) * x0) - -12863.668"
13,2.7898333e8,"(x0 * ((4425.0195 - (x0 * 0.09257323)) / (x0 - 22453.762))) - -14421.716"
15,2.7841955e8,"(((-0.016799644 - (-658.6923 / (x0 - 22484.143))) * (x0 * x0)) / 6667.6104) - -12261.882"
17,2.7835952e8,"0.94371337 * ((((x0 / 6658.9287) * (-0.017070662 - (-672.3053 / (x0 + -22529.988)))) * x0) - -12945.943)"
19,2.783595e8,"((((x0 - 0.6251019) / 6658.9287) * ((-0.017070662 - (-672.3053 / (x0 + -22529.988))) * x0)) - -12945.943) * 0.94371337"
21,2.305804e8,"(((((414.9569 / (x0 - 33078.82)) - ((x0 - 36863.73) / 17850.023)) * 4922.296) / (x0 - 21449.557)) * x0) - -18629.852"
